agi_locus	source	family	evidence_note
AT1G01040	EMB	EMB_essential	SeedGenes: SUS 1 (Confirmed) - RNA Helicase
AT1G01370	EMB	EMB_essential	SeedGenes: CENH 3 (Confirmed) - Centromere-Specific Histone
AT1G02090	EMB	EMB_essential	SeedGenes: FUS 5 (Confirmed) - Component of COP9 Signalosome
AT1G02500	CURATED_FAMILY	SAMS	SAM1 / MAT1 (S-adenosylmethionine synthetase 1)
AT1G02560	EMB	EMB_essential	SeedGenes: CLPP 5 (Confirmed) - Chloroplast Clp Protease Subunit
AT1G02580	EMB	EMB_essential	SeedGenes: MEA (Confirmed) - SET Domain Polycomb Protein
AT1G02780	EMB	EMB_essential	SeedGenes: EMB 2386 (Not Confirmed) - Ribosomal Protein L19
AT1G03360	EMB	EMB_essential	SeedGenes: RRP 4 (Confirmed) - rRNA Processing; Exonuclease
AT1G04635	EMB	EMB_essential	SeedGenes: EMB 1687 (Confirmed) - Ribonuclease P Family (POP5)
AT1G04820	CURATED_FAMILY	tubulin	TUA4 (alpha tubulin 4)
AT1G04950	EMB	EMB_essential	SeedGenes: EMB 2781 (Confirmed) - TATA Box Binding Protein
AT1G05190	EMB	EMB_essential	SeedGenes: EMB 2394 (Confirmed) - Chloroplast 50S Ribosomal Protein L6
AT1G05600	EMB	EMB_essential	SeedGenes: EMB 3101 (Confirmed) - PPR Protein
AT1G05750	EMB	EMB_essential	SeedGenes: PDE 247 (Confirmed) - PPR Protein
AT1G06145	EMB	EMB_essential	SeedGenes: EMB 1444 (Not Confirmed) - PPR Protein
AT1G06570	EMB	EMB_essential	SeedGenes: PDS 1 (Confirmed) - p-Hydroxyphenylpyruvate Dioxygenase
AT1G06950	EMB	EMB_essential	SeedGenes: TIC 110 (Confirmed) - Chloroplast Import Protein
AT1G07320	EMB	EMB_essential	SeedGenes: EMB 2784 (Not Confirmed) - Plastid Ribosomal Protein L4
AT1G08130	EMB	EMB_essential	SeedGenes: LIG 1 (Not Confirmed) - DNA Replication and Repair
AT1G08260	EMB	EMB_essential	SeedGenes: EMB 2284 (Confirmed) - Subunit of DNA Polymerase Epsilon
AT1G08510	EMB	EMB_essential	SeedGenes: FATB (Confirmed) - Acyl-Acyl Carrier Protein Thioesterase
AT1G08520	EMB	EMB_essential	SeedGenes: PDE 166 (Confirmed) - Magnesium Chelatase (CHLD)
AT1G08560	EMB	EMB_essential	SeedGenes: KN (Confirmed) - Cytokinesis-Specific Syntaxin
AT1G08840	EMB	EMB_essential	SeedGenes: EMB 2411 (Confirmed) - Helicase/Nuclease (Dna2)
AT1G09770	EMB	EMB_essential	SeedGenes: AtCDC 5 (Not Confirmed) - MYB Domain Transcription Factor
AT1G10270	EMB	EMB_essential	SeedGenes: GRP 23 (Confirmed) - Novel PPR Protein
AT1G10510	EMB	EMB_essential	SeedGenes: EMB 2004 (Confirmed) - Uncertain
AT1G10910	EMB	EMB_essential	SeedGenes: EMB 3103 (Confirmed) - Unknown
AT1G11680	EMB	EMB_essential	SeedGenes: EMB 1738 (Confirmed) - Obtusifoliol 14-Alpha Demethylase (CYP51)
AT1G12260	EMB	EMB_essential	SeedGenes: EMB 2749 (Not Confirmed) - NAM-Like Protein
AT1G12360	EMB	EMB_essential	SeedGenes: KEU (Confirmed) - Cytokinesis-Related Sec1 Protein
AT1G12410	EMB	EMB_essential	SeedGenes: EMB 3146 (Confirmed) - Chloroplast Clp Protease Proteolytic Subunit
AT1G12770	EMB	EMB_essential	SeedGenes: EMB 1586 (Confirmed) - DEAD/DEAH Box RNA Helicase
AT1G13980	EMB	EMB_essential	SeedGenes: EMB 30 (Confirmed) - ARF Guanine Exchange Factor
AT1G14610	EMB	EMB_essential	SeedGenes: TWN 2 (Confirmed) - Valyl tRNA Synthetase
AT1G15220	EMB	EMB_essential	SeedGenes: AtCCMH (Not Confirmed) - Mitochondrial Cytochrome C Maturation
AT1G15510	EMB	EMB_essential	SeedGenes: AtECB 2 (Confirmed) - PPR protein
AT1G17220	EMB	EMB_essential	SeedGenes: FUG 1 (Not Confirmed) - Chloroplast Translation Initiation Factor (cpIF2)
AT1G18450	EMB	EMB_essential	SeedGenes: ARP 4 (Confirmed) - Actin-Related Protein
AT1G19080	EMB	EMB_essential	SeedGenes: TTN 10 (Not Confirmed) - GINS Complex Subunit (PSF3)
AT1G19800	EMB	EMB_essential	SeedGenes: TGD 1 (Confirmed) - Chloroplast Envelope Protein
AT1G19850	EMB	EMB_essential	SeedGenes: MP (Confirmed) - B3 Domain Transcription Factor
AT1G20010	CURATED_FAMILY	tubulin	TUB5 (beta tubulin 5)
AT1G20050	EMB	EMB_essential	SeedGenes: HYD 1 (Confirmed) - Sterol Isomerase
AT1G20110	EMB	EMB_essential	SeedGenes: PDE 330 (Not Confirmed) - Zinc Finger Protein
AT1G20200	EMB	EMB_essential	SeedGenes: EMB 2719 (Not Confirmed) - 26S Proteasome Regulatory Subunit (RPN3)
AT1G20960	EMB	EMB_essential	SeedGenes: EMB 1507 (Confirmed) - Spliceosome-Associated RNA Helicase
AT1G21310	EMB	EMB_essential	SeedGenes: RSH (Confirmed) - Cell Wall Hydroxyproline-Rich Glycoprotein
AT1G21390	EMB	EMB_essential	SeedGenes: EMB 2170 (Not Confirmed) - Unknown
AT1G21690	EMB	EMB_essential	SeedGenes: EMB 1968 (Confirmed) - Replication Factor C
AT1G21970	EMB	EMB_essential	SeedGenes: LEC 1 (Confirmed) - Transcriptional Regulator
AT1G22090	EMB	EMB_essential	SeedGenes: EMB 2204 (Not Confirmed) - Unknown
AT1G22700	EMB	EMB_essential	SeedGenes: PYG 7 (Confirmed) - TPR protein; Photosystem I
AT1G23400	EMB	EMB_essential	SeedGenes: AtCAF 2 (Confirmed) - Chloroplast Intron Splicing Factor
AT1G23820	CURATED_FAMILY	SPDS/PMT	SPDS1 (spermidine synthase 1; primary polyamine metabolism)
AT1G24340	EMB	EMB_essential	SeedGenes: EMB 2421 (Not Confirmed) - Polyketide Hydroxylase Related Monooxygenase
AT1G24706	EMB	EMB_essential	SeedGenes: EMB 2793 (Confirmed) - THO/TREX Complex Component (THO2)
AT1G26980	CURATED_FAMILY	ACCase-CT	ACC2 (acetyl-CoA carboxylase 2; plastidic homomeric)
AT1G28300	EMB	EMB_essential	SeedGenes: LEC 2 (Confirmed) - B3 Domain Transcription Factor
AT1G30610	EMB	EMB_essential	SeedGenes: EMB 2279 (Confirmed) - PPR Protein
AT1G31860	EMB	EMB_essential	SeedGenes: HISN 2 (Confirmed) - Histidine Biosynthesis
AT1G32490	EMB	EMB_essential	SeedGenes: EMB 2733 (Not Confirmed) - RNA Helicase (Prp2)
AT1G34430	EMB	EMB_essential	SeedGenes: EMB 3003 (Not Confirmed) - Dihydrolipoamide S-Acetyltransferase; Chloroplast Pyruvate Decarboxylase Complex; Putative E3 Binding Protein
AT1G34550	EMB	EMB_essential	SeedGenes: EMB 2756 (Not Confirmed) - Unknown
AT1G36160	CURATED_FAMILY	ACCase-CT	ACC1 (acetyl-CoA carboxylase 1; cytosolic homomeric)
AT1G43170	EMB	EMB_essential	SeedGenes: EMB 2207 (Confirmed) - Ribosomal Protein L3
AT1G43710	EMB	EMB_essential	SeedGenes: EMB 1075 (Not Confirmed) - Serine Decarboxylase
AT1G44900	EMB	EMB_essential	SeedGenes: MCM 2 (Confirmed) - Putative DNA Helicase Subunit
AT1G48175	EMB	EMB_essential	SeedGenes: EMB 2191 (Confirmed) - tRNA Adenosine Deaminase
AT1G48350	EMB	EMB_essential	SeedGenes: EMB 3105 (Not Confirmed) - Chloroplast 50S Ribosomal Protein L18
AT1G48850	EMB	EMB_essential	SeedGenes: EMB 1144 (Not Confirmed) - Chorismate Synthase
